,date,code,12개월 간 수익률,6개월 후 수익률,name,KOSPI 12개월 간 수익률,KOSPI 6개월 후 수익률,KOSPI대비 12개월 간 수익률,KOSPI대비 6개월 후 수익률,12개월 간 KOSPI 이김,KOSPI보다 많이 오름,PER,PBR,배당수익률,PER_inv,PBR_inv
0,2004-01-03,005930,0.3965785381026439,-0.029508196721311476,삼성전자,0.29297668340759175,-0.08333940055818476,0.10360185469505212,0.05383120383687328,1,1,10.69,2.83,1.22,0.09354536950420955,0.35335689045936397
1,2004-01-03,017670,-0.06666494938306587,-0.12231055762495135,SK텔레콤,0.29297668340759175,-0.08333940055818476,-0.35964163279065764,-0.0389711570667666,0,0,11.71,2.14,0.86,0.08539709649871904,0.4672897196261682
2,2004-01-03,030200,-0.09218436873747494,-0.16666666666666666,KT,0.29297668340759175,-0.08333940055818476,-0.3851610521450667,-0.0833272661084819,0,0,5.98,1.01,1.9,0.16722408026755853,0.9900990099009901
3,2004-01-03,060000,0.08224076281287247,-0.237012987012987,국민은행,0.29297668340759175,-0.08333940055818476,-0.2107359205947193,-0.15367358645480225,0,0,11.01,1.49,2.2,0.09082652134423251,0.6711409395973155
4,2004-01-03,015760,0.18232044198895028,-0.1320754716981132,한국전력,0.29297668340759175,-0.08333940055818476,-0.11065624141864147,-0.04873607113992845,0,0,4.47,0.39,3.74,0.2237136465324385,2.564102564102564
5,2004-01-03,005490,0.4110169491525424,-0.12650602409638553,POSCO,0.29297668340759175,-0.08333940055818476,0.11804026574495063,-0.04316662353820078,1,0,12.39,1.1,2.1,0.08071025020177562,0.9090909090909091
6,2004-01-03,005380,0.8636363636363636,-0.205607476635514,현대차,0.29297668340759175,-0.08333940055818476,0.5706596802287719,-0.12226807607732926,1,0,8.39,1.42,1.59,0.11918951132300357,0.7042253521126761
7,2004-01-03,066570,0.39358543826349346,-0.12307154101801644,LG전자,0.29297668340759175,-0.08333940055818476,0.1006087548559017,-0.039732140459831686,1,0,33.14,3.12,1.71,0.030175015087507542,0.3205128205128205
8,2004-01-03,032390,-0.3367003367003367,0.02570694087403599,KTF,0.29297668340759175,-0.08333940055818476,-0.6296770201079285,0.10904634143222075,0,1,6.78,10000.0,0.0,0.14749262536873156,0.0001
9,2004-01-03,055550,0.5178321390330286,-0.11690842173630656,신한지주,0.29297668340759175,-0.08333940055818476,0.22485545562543685,-0.0335690211781218,1,0,9.29,1.37,3.13,0.10764262648008613,0.7299270072992701
10,2004-01-03,005935,0.5876623376623377,0.146,삼성전자(1우),0.29297668340759175,-0.08333940055818476,0.2946856542547459,0.22933940055818475,1,1,10000.0,10000.0,2.27,0.0001,0.0001
11,2004-01-03,000270,0.24047878128400435,-0.20759493670886076,기아차,0.29297668340759175,-0.08333940055818476,-0.0524979021235874,-0.124255536150676,0,0,6.54,1.09,2.19,0.1529051987767584,0.9174311926605504
12,2004-01-03,009150,-0.10786516853932585,-0.20558375634517767,삼성전기,0.29297668340759175,-0.08333940055818476,-0.40084185194691757,-0.12224435578699291,0,0,14.66,1.63,1.89,0.06821282401091405,0.6134969325153374
13,2004-01-03,000810,0.007518796992481203,0.04940119760479042,삼성화재,0.29297668340759175,-0.08333940055818476,-0.28545788641511055,0.13274059816297518,0,1,11.49,2.03,1.49,0.08703220191470844,0.4926108374384237
14,2004-01-03,006400,1.0142857142857142,-0.23024054982817868,삼성SDI,0.29297668340759175,-0.08333940055818476,0.7213090308781225,-0.14690114926999392,1,0,11.23,1.87,1.77,0.08904719501335707,0.53475935828877
15,2004-01-03,053000,0.6194629332109249,0.05108972544579677,우리금융,0.29297668340759175,-0.08333940055818476,0.3264862498033332,0.13442912600398152,1,1,8.72,1.04,3.65,0.1146788990825688,0.9615384615384615
16,2004-01-03,033780,0.321875,0.2829736211031175,담배인삼공사,0.29297668340759175,-0.08333940055818476,0.02889831659240827,0.3663130216613023,1,1,8.95,0.82,6.62,0.111731843575419,1.2195121951219512
17,2004-01-03,051910,0.37529367700636723,-0.3105332626099399,LG화학,0.29297668340759175,-0.08333940055818476,0.08231699359877548,-0.22719386205175515,1,0,11.02,2.95,2.64,0.09074410163339383,0.3389830508474576
18,2004-01-03,032710,-0.8660308554187337,-0.9244841994059951,LG카드,0.29297668340759175,-0.08333940055818476,-1.1590075388263255,-0.8411447988478103,0,0,0.73,0.14,50.0,1.36986301369863,7.142857142857142
19,2004-01-03,035250,0.2033898305084746,-0.1423611111111111,강원랜드,0.29297668340759175,-0.08333940055818476,-0.08958685289911716,-0.05902171055292635,0,0,13.75,4.76,1.6,0.07272727272727272,0.21008403361344538
20,2004-01-03,004170,0.9866216987283991,-0.05851878264152526,신세계,0.29297668340759175,-0.08333940055818476,0.6936450153208074,0.024820617916659495,1,1,22.76,4.11,0.34,0.04393673110720562,0.24330900243309
21,2004-01-03,012330,1.7869565217391303,-0.2059282371294852,현대모비스,0.29297668340759175,-0.08333940055818476,1.4939798383315386,-0.12258883657130043,1,0,13.46,3.95,1.09,0.07429420505200594,0.2531645569620253
22,2004-01-03,016360,-0.13491019028988085,-0.290904657400634,삼성증권,0.29297668340759175,-0.08333940055818476,-0.4278868736974726,-0.20756525684244923,0,0,28.69,1.08,1.95,0.034855350296270474,0.9259259259259258
23,2004-01-03,024110,0.15084745762711865,-0.08789625360230548,기업은행,0.29297668340759175,-0.08333940055818476,-0.1421292257804731,-0.0045568530441207206,0,0,5.33,0.64,5.15,0.18761726078799248,1.5625
